                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.52791,                0.31562,                0.85165,                0.97434,                0.97143,                0.98782,                0.76781,                0.82366,                0.34296,                0.96815,               0.006436,               0.006436,               0.006436
                     75,                0.53055,                0.31281,                0.85721,                0.97909,                0.96965,                0.98363,                0.77151,                0.81188,                0.33612,                0.96038,              0.0063865,              0.0063865,              0.0063865
                     76,                0.53255,                0.31365,                0.85128,                 0.9786,                0.97457,                0.98507,                0.77623,                0.80737,                0.33055,                 0.9714,               0.006337,               0.006337,               0.006337
                     77,                0.52288,                0.30949,                0.85126,                0.97813,                0.97156,                0.98361,                0.77186,                0.81343,                0.33495,                0.96403,              0.0062875,              0.0062875,              0.0062875
                     78,                0.52913,                0.31733,                0.85124,                0.97746,                 0.9758,                0.98492,                0.77221,                0.81191,                0.33843,                0.96284,               0.006238,               0.006238,               0.006238
                     79,                0.51985,                0.30829,                0.85131,                0.98635,                0.97318,                0.98629,                0.78076,                 0.7904,                0.32687,                0.95073,              0.0061885,              0.0061885,              0.0061885
                     80,                0.51609,                0.31308,                0.84876,                0.97647,                0.97206,                0.98459,                0.77479,                0.79118,                0.33264,                0.96176,               0.006139,               0.006139,               0.006139
                     81,                0.51078,                0.30165,                0.84647,                0.98324,                0.97303,                0.98574,                0.77467,                0.80384,                0.32479,                 0.9669,              0.0060895,              0.0060895,              0.0060895
                     82,                0.51811,                0.31182,                0.85013,                0.98151,                0.97298,                 0.9859,                0.77961,                0.80165,                0.33065,                0.96415,                0.00604,                0.00604,                0.00604
                     83,                0.51613,                0.30696,                0.84566,                0.97885,                0.96979,                0.98542,                0.77459,                0.81408,                0.33268,                0.96621,              0.0059905,              0.0059905,              0.0059905
                     84,                0.51578,                  0.307,                0.84814,                0.97734,                0.96971,                0.98611,                0.77617,                0.80566,                 0.3327,                0.96496,               0.005941,               0.005941,               0.005941
                     85,                0.51705,                0.30929,                0.85019,                0.98155,                0.96926,                0.98566,                 0.7767,                0.80937,                0.33822,                0.96506,              0.0058915,              0.0058915,              0.0058915
                     86,                0.50583,                0.30506,                0.84577,                0.97981,                0.97929,                0.98634,                 0.7725,                0.81712,                0.34081,                0.96765,               0.005842,               0.005842,               0.005842
                     87,                0.50952,                0.30211,                0.85093,                0.97742,                0.97602,                 0.9858,                0.77881,                0.81183,                0.33567,                0.96251,              0.0057925,              0.0057925,              0.0057925
                     88,                0.49623,                0.29838,                0.84503,                0.97826,                0.97325,                0.98598,                0.77501,                0.80462,                0.32897,                0.96314,               0.005743,               0.005743,               0.005743
                     89,                 0.4915,                 0.2957,                0.84475,                0.98321,                0.98114,                0.98907,                0.77861,                0.80707,                0.33234,                0.96086,              0.0056935,              0.0056935,              0.0056935
                     90,                 0.4994,                0.29662,                 0.8462,                0.97747,                0.97147,                 0.9859,                0.77294,                0.80197,                0.33214,                0.96354,               0.005644,               0.005644,               0.005644
                     91,                0.49802,                0.30166,                0.84337,                0.97639,                0.97186,                0.98572,                0.77847,                0.79075,                0.33801,                0.95488,              0.0055945,              0.0055945,              0.0055945
                     92,                  0.496,                0.29503,                 0.8439,                0.98315,                0.98444,                 0.9894,                0.77355,                0.80787,                0.32707,                0.96695,               0.005545,               0.005545,               0.005545
                     93,                0.48197,                0.28899,                0.84196,                 0.9856,                0.97294,                0.98687,                0.77815,                0.80765,                 0.3221,                0.96584,              0.0054955,              0.0054955,              0.0054955
                     94,                 0.4782,                0.29131,                0.83838,                0.97838,                0.97733,                0.98524,                 0.7736,                0.80899,                0.32948,                0.97349,               0.005446,               0.005446,               0.005446
                     95,                0.48328,                0.29532,                0.84101,                0.98536,                0.97621,                0.98904,                0.77637,                 0.8001,                0.32382,                 0.9658,              0.0053965,              0.0053965,              0.0053965
                     96,                0.48653,                0.29272,                0.83949,                0.98587,                0.97461,                0.98623,                0.77641,                0.81204,                0.32969,                0.96933,               0.005347,               0.005347,               0.005347
                     97,                0.48145,                0.28864,                0.84254,                0.98196,                0.97609,                0.98573,                0.77806,                0.81435,                0.32867,                0.97116,              0.0052975,              0.0052975,              0.0052975
                     98,                0.48068,                0.29068,                0.84307,                0.97877,                0.97633,                0.98882,                0.77627,                 0.7967,                0.33485,                 0.9642,               0.005248,               0.005248,               0.005248
                     99,                0.47184,                0.28562,                0.84082,                0.98247,                0.97865,                 0.9895,                0.77865,                0.80958,                0.33561,                0.96954,              0.0051985,              0.0051985,              0.0051985
                    100,                0.46992,                0.28611,                0.83877,                0.98333,                0.97339,                0.98615,                0.77908,                0.79671,                 0.3292,                0.96482,               0.005149,               0.005149,               0.005149
                    101,                0.46744,                0.28166,                0.83456,                0.98167,                 0.9838,                0.98899,                0.77711,                0.80779,                0.32703,                0.96903,              0.0050995,              0.0050995,              0.0050995
                    102,                0.47216,                0.28489,                0.84176,                 0.9842,                0.97634,                0.98861,                0.77901,                0.79636,                0.32511,                0.96163,                0.00505,                0.00505,                0.00505
                    103,                0.47774,                0.28565,                0.84098,                0.97746,                0.97748,                 0.9893,                0.78059,                0.79858,                0.32943,                0.95919,              0.0050005,              0.0050005,              0.0050005
                    104,                0.47056,                0.28578,                0.83952,                0.98404,                0.97391,                0.98907,                0.77933,                   0.81,                 0.3317,                0.96627,               0.004951,               0.004951,               0.004951
