                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                0.59936,                 0.3268,                0.90565,                0.99734,                0.99927,                0.99475,                0.90553,                 0.5137,                0.20696,                 0.8569,               0.008284,               0.008284,               0.008284
                     55,                0.59564,                0.32383,                0.90097,                0.99741,                0.99927,                0.99476,                0.90436,                 0.5116,                0.20767,                0.85474,               0.008251,               0.008251,               0.008251
                     56,                0.59677,                0.32734,                0.89556,                 0.9974,                0.99927,                0.99474,                0.90613,                0.51052,                0.20493,                 0.8516,               0.008218,               0.008218,               0.008218
                     57,                0.59145,                0.32152,                  0.896,                0.99755,                0.99927,                0.99477,                0.90928,                0.51013,                0.20596,                 0.8511,               0.008185,               0.008185,               0.008185
                     58,                   0.59,                0.32258,                0.89861,                 0.9976,                0.99927,                0.99477,                0.90756,                0.50916,                0.20492,                0.84953,               0.008152,               0.008152,               0.008152
                     59,                0.58921,                0.31989,                0.89439,                0.99766,                0.99927,                0.99478,                0.90979,                0.50859,                0.20222,                0.84775,               0.008119,               0.008119,               0.008119
                     60,                0.59026,                0.31567,                0.89335,                0.99761,                0.99927,                0.99477,                0.90979,                0.50723,                0.20061,                0.84695,               0.008086,               0.008086,               0.008086
                     61,                0.58783,                0.31877,                0.89363,                0.99768,                0.99927,                0.99477,                0.91025,                0.50727,                0.20159,                0.84692,               0.008053,               0.008053,               0.008053
                     62,                 0.5979,                0.32385,                0.89523,                 0.9976,                0.99927,                0.99477,                0.90756,                0.50771,                0.19881,                0.84711,                0.00802,                0.00802,                0.00802
                     63,                0.59244,                0.31885,                0.88865,                0.99756,                0.99927,                0.99478,                0.90932,                0.50691,                0.19848,                0.84615,               0.007987,               0.007987,               0.007987
                     64,                0.59231,                0.31909,                0.89269,                0.99766,                0.99927,                0.99478,                0.91017,                0.50768,                0.19855,                0.84623,               0.007954,               0.007954,               0.007954
                     65,                0.58783,                0.31632,                0.89441,                0.99751,                0.99927,                0.99478,                0.90838,                0.50864,                0.19837,                0.84655,               0.007921,               0.007921,               0.007921
                     66,                0.59109,                0.31674,                0.89545,                 0.9976,                0.99927,                0.99478,                0.90883,                0.50859,                0.19837,                0.84659,               0.007888,               0.007888,               0.007888
                     67,                0.58605,                0.31568,                0.89466,                0.99785,                0.99927,                0.99478,                0.91044,                0.50854,                 0.1973,                0.84661,               0.007855,               0.007855,               0.007855
                     68,                0.58668,                0.31463,                0.89295,                0.99773,                0.99927,                0.99478,                0.91068,                0.50753,                0.19718,                0.84622,               0.007822,               0.007822,               0.007822
                     69,                0.58726,                0.31519,                0.89237,                0.99787,                0.99927,                0.99478,                 0.9101,                0.50744,                0.19671,                0.84633,               0.007789,               0.007789,               0.007789
                     70,                0.58315,                0.31133,                0.88929,                0.99785,                0.99927,                0.99478,                0.91115,                0.50765,                0.19631,                 0.8465,               0.007756,               0.007756,               0.007756
